"","left","right","censored"
"355",14,20,1
"356",20,27,0
"357",14,24,1
"358",24,30,1
"359",30,34,1
"360",9,19,0
"361",11,21,1
"362",21,27,0
"363",10,20,0
"364",1,10,0
"365",14,23,1
"366",23,29,1
"367",29,34,0
"368",6,15,1
"369",15,22,1
"370",22,29,1
"371",29,34,1
"372",8,17,1
"373",17,24,1
"374",24,31,1
"375",31,33,1
"376",10,19,1
"377",19,26,1
"378",26,33,1
"379",4,13,1
"380",13,20,1
"381",20,27,1
"382",27,33,1
"383",10,19,1
"384",19,26,0
"385",8,17,1
"386",17,24,1
"387",24,31,1
"388",14,23,1
"389",23,30,1
"390",30,34,1
"391",9,18,1
"392",18,25,1
"393",25,32,1
"394",11,20,1
"395",20,27,1
"396",27,33,0
"397",9,18,1
"398",18,25,1
"399",25,32,1
"400",32,33,1
"401",15,21,1
"402",21,28,1
"403",28,35,1
"404",15,21,1
"405",21,28,1
"406",28,35,1
"407",8,14,1
"408",14,21,1
"409",21,27,1
"410",27,30,1
"411",11,17,1
"412",17,24,1
"413",24,31,1
"414",31,34,1
"415",14,21,1
"416",21,27,1
"417",27,34,1
"418",5,12,1
"419",12,18,1
"420",18,25,1
"421",25,31,1
"422",31,34,1
"423",7,14,1
"424",14,20,1
"425",20,27,1
"426",27,32,0
"427",8,15,1
"428",15,21,1
"429",21,28,0
"430",14,20,0
"431",12,18,1
"432",18,24,1
"433",24,31,0
"434",14,20,1
"435",20,27,1
"436",27,32,1
"437",13,19,0
"438",9,15,1
"439",15,22,1
"440",22,28,0
"441",11,17,1
"442",17,24,1
"443",24,31,1
"444",31,34,1
"445",4,10,1
"446",10,17,1
"447",17,24,1
"448",24,31,1
"449",31,32,1
"450",1,7,1
"451",7,14,1
"452",14,21,1
"453",21,28,1
"454",28,33,0
"455",10,16,1
"456",16,23,1
"457",23,30,1
"458",30,32,1
"459",17,24,1
"460",24,30,1
"461",30,33,1
"462",8,15,1
"463",15,21,1
"464",21,28,1
"465",28,31,1
"466",8,14,1
"467",14,21,1
"468",21,27,1
"469",27,33,1
"470",9,15,1
"471",15,22,0
"472",15,21,1
"473",21,28,1
"474",28,33,1
"475",8,14,0
"476",9,15,1
"477",15,22,0
"478",12,18,0
"479",21,27,0
"480",10,16,1
"481",16,23,1
"482",23,30,0
"483",10,16,1
"484",16,23,1
"485",23,30,1
"486",30,33,1
"487",23,29,1
"488",29,33,0
"489",8,15,1
"490",16,23,1
"491",23,30,1
"492",30,34,1
"493",14,20,1
"494",20,27,1
"495",27,33,1
"496",33,34,1
"497",6,12,1
"498",12,19,1
"499",19,25,0
"500",11,17,0
