x
3
1
2
3
3
3
6
1
5
2
5
2
6
10
9
8
10
2
10
9
8
10
4
4
4
1
1
3
1
1
1
9
6
10
9
10
11
11
15
5
6
9
2
4
6
5
3
3
12
1
10
10
9
10
7
14
10
8
9
11
6
2
7
12
9
7
6
10
5
9
5
9
2
2
6
13
11
9
5
8
7
6
6
1
4
5
7
11
9
9
14
9
11
9
9
11
9
7
7
2
3
8
7
2
7
5
8
8
10
5
7
9
9
8
9
5
20
4
11
14
15
17
15
13
8
6
14
9
11
10
1
14
6
8
10
4
10
8
14
9
11
9
15
15
8
11
14
5
7
8
14
12
14
13
9
11
4
1
10
17
8
8
9
15
8
9
12
21
10
10
23
8
16
14
6
11
4
3
3
17
11
15
5
6
11
24
2
7
12
8
3
7
7
9
13
18
8
28
10
22
15
2
3
10
11
8
7
5
9
8
6
21
28
10
9
7
